wave,group_name,question,frequency,estimate,group_category,mid_date
Week60,High school or GED,Frequency of not being able to stop or control worrying,Not at all,28852576,education,8/1/2023
Week60,High school or GED,Frequency of not being able to stop or control worrying,Several days,17967092,education,8/1/2023
Week60,High school or GED,Frequency of not being able to stop or control worrying,More than half the days,6219479,education,8/1/2023
Week60,High school or GED,Frequency of not being able to stop or control worrying,Nearly every day,7808123,education,8/1/2023
Week60,High school or GED,Frequency of not being able to stop or control worrying,Did not report,16351199,education,8/1/2023
Week60,Some college/associate’s degree,"Frequency of feeling nervous, anxious, or on edge",Not at all,22745064,education,8/1/2023
Week60,Some college/associate’s degree,"Frequency of feeling nervous, anxious, or on edge",Several days,19913779,education,8/1/2023
Week60,Some college/associate’s degree,"Frequency of feeling nervous, anxious, or on edge",More than half the days,7679320,education,8/1/2023
Week60,Some college/associate’s degree,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,11228448,education,8/1/2023
Week60,Some college/associate’s degree,"Frequency of feeling nervous, anxious, or on edge",Did not report,13446784,education,8/1/2023
Week60,Some college/associate’s degree,Frequency of not being able to stop or control worrying,Not at all,27310170,education,8/1/2023
Week60,Some college/associate’s degree,Frequency of not being able to stop or control worrying,Several days,18467907,education,8/1/2023
Week60,Some college/associate’s degree,Frequency of not being able to stop or control worrying,More than half the days,6756948,education,8/1/2023
Week60,Some college/associate’s degree,Frequency of not being able to stop or control worrying,Nearly every day,8776830,education,8/1/2023
Week60,Some college/associate’s degree,Frequency of not being able to stop or control worrying,Did not report,13701541,education,8/1/2023
Week60,Bachelor’s degree or higher,"Frequency of feeling nervous, anxious, or on edge",Not at all,31367879,education,8/1/2023
Week60,Bachelor’s degree or higher,"Frequency of feeling nervous, anxious, or on edge",Several days,25584616,education,8/1/2023
Week60,Bachelor’s degree or higher,"Frequency of feeling nervous, anxious, or on edge",More than half the days,7281291,education,8/1/2023
Week60,Bachelor’s degree or higher,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,8371594,education,8/1/2023
Week60,Bachelor’s degree or higher,"Frequency of feeling nervous, anxious, or on edge",Did not report,10601673,education,8/1/2023
Week60,Bachelor’s degree or higher,Frequency of not being able to stop or control worrying,Not at all,40516230,education,8/1/2023
Week60,Bachelor’s degree or higher,Frequency of not being able to stop or control worrying,Several days,20228438,education,8/1/2023
Week60,Bachelor’s degree or higher,Frequency of not being able to stop or control worrying,More than half the days,5826581,education,8/1/2023
Week60,Bachelor’s degree or higher,Frequency of not being able to stop or control worrying,Nearly every day,5805476,education,8/1/2023
Week60,Bachelor’s degree or higher,Frequency of not being able to stop or control worrying,Did not report,10830328,education,8/1/2023
Week60,Married,"Frequency of feeling nervous, anxious, or on edge",Not at all,56403927,marital_status,8/1/2023
Week60,Married,"Frequency of feeling nervous, anxious, or on edge",Several days,36802855,marital_status,8/1/2023
Week60,Married,"Frequency of feeling nervous, anxious, or on edge",More than half the days,11077165,marital_status,8/1/2023
Week60,Married,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,13916159,marital_status,8/1/2023
Week60,Married,"Frequency of feeling nervous, anxious, or on edge",Did not report,22232968,marital_status,8/1/2023
Week60,Married,Frequency of not being able to stop or control worrying,Not at all,65505412,marital_status,8/1/2023
Week60,Married,Frequency of not being able to stop or control worrying,Several days,32021901,marital_status,8/1/2023
Week60,Married,Frequency of not being able to stop or control worrying,More than half the days,9593293,marital_status,8/1/2023
Week60,Married,Frequency of not being able to stop or control worrying,Nearly every day,10359712,marital_status,8/1/2023
Week60,Married,Frequency of not being able to stop or control worrying,Did not report,22952756,marital_status,8/1/2023
Week60,Widowed,"Frequency of feeling nervous, anxious, or on edge",Not at all,4762402,marital_status,8/1/2023
Week60,Widowed,"Frequency of feeling nervous, anxious, or on edge",Several days,2663891,marital_status,8/1/2023
Week60,Widowed,"Frequency of feeling nervous, anxious, or on edge",More than half the days,924649,marital_status,8/1/2023
Week60,Widowed,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,1206167,marital_status,8/1/2023
Week60,Widowed,"Frequency of feeling nervous, anxious, or on edge",Did not report,2047929,marital_status,8/1/2023
Week60,Widowed,Frequency of not being able to stop or control worrying,Not at all,5167135,marital_status,8/1/2023
Week60,Widowed,Frequency of not being able to stop or control worrying,Several days,2392799,marital_status,8/1/2023
Week60,Widowed,Frequency of not being able to stop or control worrying,More than half the days,1012895,marital_status,8/1/2023
Week60,Widowed,Frequency of not being able to stop or control worrying,Nearly every day,850272,marital_status,8/1/2023
Week60,Widowed,Frequency of not being able to stop or control worrying,Did not report,2181937,marital_status,8/1/2023
Week60,Divorced/separated,"Frequency of feeling nervous, anxious, or on edge",Not at all,11145662,marital_status,8/1/2023
Week60,Divorced/separated,"Frequency of feeling nervous, anxious, or on edge",Several days,9770795,marital_status,8/1/2023
Week60,Divorced/separated,"Frequency of feeling nervous, anxious, or on edge",More than half the days,3539695,marital_status,8/1/2023
Week60,Divorced/separated,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,4911278,marital_status,8/1/2023
Week60,Divorced/separated,"Frequency of feeling nervous, anxious, or on edge",Did not report,5936156,marital_status,8/1/2023
Week60,Divorced/separated,Frequency of not being able to stop or control worrying,Not at all,12477298,marital_status,8/1/2023
Week60,Divorced/separated,Frequency of not being able to stop or control worrying,Several days,9316722,marital_status,8/1/2023
Week60,Divorced/separated,Frequency of not being able to stop or control worrying,More than half the days,3151392,marital_status,8/1/2023
Week60,Divorced/separated,Frequency of not being able to stop or control worrying,Nearly every day,4226382,marital_status,8/1/2023
Week60,Divorced/separated,Frequency of not being able to stop or control worrying,Did not report,6131793,marital_status,8/1/2023
Week60,Never married,"Frequency of feeling nervous, anxious, or on edge",Not at all,14787964,marital_status,8/1/2023
Week60,Never married,"Frequency of feeling nervous, anxious, or on edge",Several days,17558231,marital_status,8/1/2023
Week60,Never married,"Frequency of feeling nervous, anxious, or on edge",More than half the days,7840068,marital_status,8/1/2023
Week60,Never married,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,11715695,marital_status,8/1/2023
Week60,Never married,"Frequency of feeling nervous, anxious, or on edge",Did not report,14130940,marital_status,8/1/2023
Week60,Never married,Frequency of not being able to stop or control worrying,Not at all,19105596,marital_status,8/1/2023
Week60,Never married,Frequency of not being able to stop or control worrying,Several days,16410634,marital_status,8/1/2023
Week60,Never married,Frequency of not being able to stop or control worrying,More than half the days,6689994,marital_status,8/1/2023
Week60,Never married,Frequency of not being able to stop or control worrying,Nearly every day,9511482,marital_status,8/1/2023
Week60,Never married,Frequency of not being able to stop or control worrying,Did not report,14315192,marital_status,8/1/2023
Week60,Did not report,"Frequency of feeling nervous, anxious, or on edge",Not at all,223624,marital_status,8/1/2023
Week60,Did not report,"Frequency of feeling nervous, anxious, or on edge",Several days,329522,marital_status,8/1/2023
Week60,Did not report,"Frequency of feeling nervous, anxious, or on edge",More than half the days,28966,marital_status,8/1/2023
Week60,Did not report,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,143261,marital_status,8/1/2023
Week60,Did not report,"Frequency of feeling nervous, anxious, or on edge",Did not report,866784,marital_status,8/1/2023
Week60,Did not report,Frequency of not being able to stop or control worrying,Not at all,428169,marital_status,8/1/2023
Week60,Did not report,Frequency of not being able to stop or control worrying,Several days,108310,marital_status,8/1/2023
Week60,Did not report,Frequency of not being able to stop or control worrying,More than half the days,50920,marital_status,8/1/2023
Week60,Did not report,Frequency of not being able to stop or control worrying,Nearly every day,119154,marital_status,8/1/2023
Week60,Did not report,Frequency of not being able to stop or control worrying,Did not report,885604,marital_status,8/1/2023
Week60,1 person in the household,"Frequency of feeling nervous, anxious, or on edge",Not at all,8108568,household_size,8/1/2023
Week60,1 person in the household,"Frequency of feeling nervous, anxious, or on edge",Several days,5802623,household_size,8/1/2023
Week60,1 person in the household,"Frequency of feeling nervous, anxious, or on edge",More than half the days,2165132,household_size,8/1/2023
Week60,1 person in the household,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,2960727,household_size,8/1/2023
Week60,1 person in the household,"Frequency of feeling nervous, anxious, or on edge",Did not report,3133010,household_size,8/1/2023
Week60,1 person in the household,Frequency of not being able to stop or control worrying,Not at all,9424435,household_size,8/1/2023
Week60,1 person in the household,Frequency of not being able to stop or control worrying,Several days,5351485,household_size,8/1/2023
Week60,1 person in the household,Frequency of not being able to stop or control worrying,More than half the days,1908812,household_size,8/1/2023
Week60,1 person in the household,Frequency of not being able to stop or control worrying,Nearly every day,2296174,household_size,8/1/2023
Week60,1 person in the household,Frequency of not being able to stop or control worrying,Did not report,3189155,household_size,8/1/2023
Week60,2 people in the household,"Frequency of feeling nervous, anxious, or on edge",Not at all,32484596,household_size,8/1/2023
Week60,2 people in the household,"Frequency of feeling nervous, anxious, or on edge",Several days,21904951,household_size,8/1/2023
Week60,2 people in the household,"Frequency of feeling nervous, anxious, or on edge",More than half the days,7237755,household_size,8/1/2023
Week60,2 people in the household,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,9210939,household_size,8/1/2023
Week60,2 people in the household,"Frequency of feeling nervous, anxious, or on edge",Did not report,11160760,household_size,8/1/2023
Week60,2 people in the household,Frequency of not being able to stop or control worrying,Not at all,37648018,household_size,8/1/2023
Week60,2 people in the household,Frequency of not being able to stop or control worrying,Several days,19666884,household_size,8/1/2023
Week60,2 people in the household,Frequency of not being able to stop or control worrying,More than half the days,6520516,household_size,8/1/2023
Week60,2 people in the household,Frequency of not being able to stop or control worrying,Nearly every day,6564577,household_size,8/1/2023
Week60,2 people in the household,Frequency of not being able to stop or control worrying,Did not report,11599007,household_size,8/1/2023
Week60,3 people in the household,"Frequency of feeling nervous, anxious, or on edge",Not at all,15983690,household_size,8/1/2023
Week60,3 people in the household,"Frequency of feeling nervous, anxious, or on edge",Several days,13508457,household_size,8/1/2023
Week60,3 people in the household,"Frequency of feeling nervous, anxious, or on edge",More than half the days,4681396,household_size,8/1/2023
Week60,3 people in the household,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,6575456,household_size,8/1/2023
Week60,3 people in the household,"Frequency of feeling nervous, anxious, or on edge",Did not report,9619660,household_size,8/1/2023
Week60,3 people in the household,Frequency of not being able to stop or control worrying,Not at all,19119283,household_size,8/1/2023
Week60,3 people in the household,Frequency of not being able to stop or control worrying,Several days,11993958,household_size,8/1/2023
Week60,3 people in the household,Frequency of not being able to stop or control worrying,More than half the days,4062650,household_size,8/1/2023
Week60,3 people in the household,Frequency of not being able to stop or control worrying,Nearly every day,5396708,household_size,8/1/2023
Week60,3 people in the household,Frequency of not being able to stop or control worrying,Did not report,9796060,household_size,8/1/2023
Week60,4 people in the household,"Frequency of feeling nervous, anxious, or on edge",Not at all,15057715,household_size,8/1/2023
Week60,4 people in the household,"Frequency of feeling nervous, anxious, or on edge",Several days,13215660,household_size,8/1/2023
Week60,4 people in the household,"Frequency of feeling nervous, anxious, or on edge",More than half the days,4334665,household_size,8/1/2023
Week60,4 people in the household,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,5386783,household_size,8/1/2023
Week60,4 people in the household,"Frequency of feeling nervous, anxious, or on edge",Did not report,10176736,household_size,8/1/2023
Week60,4 people in the household,Frequency of not being able to stop or control worrying,Not at all,18466348,household_size,8/1/2023
Week60,4 people in the household,Frequency of not being able to stop or control worrying,Several days,11182923,household_size,8/1/2023
Week60,4 people in the household,Frequency of not being able to stop or control worrying,More than half the days,3663115,household_size,8/1/2023
Week60,4 people in the household,Frequency of not being able to stop or control worrying,Nearly every day,4443883,household_size,8/1/2023
Week60,4 people in the household,Frequency of not being able to stop or control worrying,Did not report,10415289,household_size,8/1/2023
Week60,5 people in the household,"Frequency of feeling nervous, anxious, or on edge",Not at all,8287779,household_size,8/1/2023
Week60,5 people in the household,"Frequency of feeling nervous, anxious, or on edge",Several days,6687160,household_size,8/1/2023
Week60,5 people in the household,"Frequency of feeling nervous, anxious, or on edge",More than half the days,2532478,household_size,8/1/2023
Week60,5 people in the household,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,4007657,household_size,8/1/2023
Week60,5 people in the household,"Frequency of feeling nervous, anxious, or on edge",Did not report,5107636,household_size,8/1/2023
Week60,5 people in the household,Frequency of not being able to stop or control worrying,Not at all,9657979,household_size,8/1/2023
Week60,5 people in the household,Frequency of not being able to stop or control worrying,Several days,6408645,household_size,8/1/2023
Week60,5 people in the household,Frequency of not being able to stop or control worrying,More than half the days,2301360,household_size,8/1/2023
Week60,5 people in the household,Frequency of not being able to stop or control worrying,Nearly every day,3001454,household_size,8/1/2023
Week60,5 people in the household,Frequency of not being able to stop or control worrying,Did not report,5253272,household_size,8/1/2023
Week60,6 people in the household,"Frequency of feeling nervous, anxious, or on edge",Not at all,3598956,household_size,8/1/2023
Week60,6 people in the household,"Frequency of feeling nervous, anxious, or on edge",Several days,3402139,household_size,8/1/2023
Week60,6 people in the household,"Frequency of feeling nervous, anxious, or on edge",More than half the days,1250166,household_size,8/1/2023
Week60,6 people in the household,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,1578603,household_size,8/1/2023
Week60,6 people in the household,"Frequency of feeling nervous, anxious, or on edge",Did not report,2425541,household_size,8/1/2023
Week60,6 people in the household,Frequency of not being able to stop or control worrying,Not at all,4236956,household_size,8/1/2023
Week60,6 people in the household,Frequency of not being able to stop or control worrying,Several days,3322393,household_size,8/1/2023
Week60,6 people in the household,Frequency of not being able to stop or control worrying,More than half the days,956412,household_size,8/1/2023
Week60,6 people in the household,Frequency of not being able to stop or control worrying,Nearly every day,1217318,household_size,8/1/2023
Week60,6 people in the household,Frequency of not being able to stop or control worrying,Did not report,2522325,household_size,8/1/2023
Week60,7 or more people in the household,"Frequency of feeling nervous, anxious, or on edge",Not at all,3802276,household_size,8/1/2023
Week60,7 or more people in the household,"Frequency of feeling nervous, anxious, or on edge",Several days,2604304,household_size,8/1/2023
Week60,7 or more people in the household,"Frequency of feeling nervous, anxious, or on edge",More than half the days,1208949,household_size,8/1/2023
Week60,7 or more people in the household,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,2172396,household_size,8/1/2023
Week60,7 or more people in the household,"Frequency of feeling nervous, anxious, or on edge",Did not report,3591434,household_size,8/1/2023
Week60,7 or more people in the household,Frequency of not being able to stop or control worrying,Not at all,4130592,household_size,8/1/2023
Week60,7 or more people in the household,Frequency of not being able to stop or control worrying,Several days,2324077,household_size,8/1/2023
Week60,7 or more people in the household,Frequency of not being able to stop or control worrying,More than half the days,1085629,household_size,8/1/2023
Week60,7 or more people in the household,Frequency of not being able to stop or control worrying,Nearly every day,2146888,household_size,8/1/2023
Week60,7 or more people in the household,Frequency of not being able to stop or control worrying,Did not report,3692173,household_size,8/1/2023
Week60,Children in household,"Frequency of feeling nervous, anxious, or on edge",Not at all,29544347,presence_of_children_under_18_years_old,8/1/2023
Week60,Children in household,"Frequency of feeling nervous, anxious, or on edge",Several days,25508898,presence_of_children_under_18_years_old,8/1/2023
Week60,Children in household,"Frequency of feeling nervous, anxious, or on edge",More than half the days,8865282,presence_of_children_under_18_years_old,8/1/2023
Week60,Children in household,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,12706782,presence_of_children_under_18_years_old,8/1/2023
Week60,Children in household,"Frequency of feeling nervous, anxious, or on edge",Did not report,20737433,presence_of_children_under_18_years_old,8/1/2023
Week60,Children in household,Frequency of not being able to stop or control worrying,Not at all,35190560,presence_of_children_under_18_years_old,8/1/2023
Week60,Children in household,Frequency of not being able to stop or control worrying,Several days,22896284,presence_of_children_under_18_years_old,8/1/2023
Week60,Children in household,Frequency of not being able to stop or control worrying,More than half the days,7911335,presence_of_children_under_18_years_old,8/1/2023
Week60,Children in household,Frequency of not being able to stop or control worrying,Nearly every day,10138042,presence_of_children_under_18_years_old,8/1/2023
Week60,Children in household,Frequency of not being able to stop or control worrying,Did not report,21226521,presence_of_children_under_18_years_old,8/1/2023
Week60,No children,"Frequency of feeling nervous, anxious, or on edge",Not at all,57779232,presence_of_children_under_18_years_old,8/1/2023
Week60,No children,"Frequency of feeling nervous, anxious, or on edge",Several days,41616396,presence_of_children_under_18_years_old,8/1/2023
Week60,No children,"Frequency of feeling nervous, anxious, or on edge",More than half the days,14545260,presence_of_children_under_18_years_old,8/1/2023
Week60,No children,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,19185779,presence_of_children_under_18_years_old,8/1/2023
Week60,No children,"Frequency of feeling nervous, anxious, or on edge",Did not report,24477343,presence_of_children_under_18_years_old,8/1/2023
Week60,No children,Frequency of not being able to stop or control worrying,Not at all,67493050,presence_of_children_under_18_years_old,8/1/2023
Week60,No children,Frequency of not being able to stop or control worrying,Several days,37354080,presence_of_children_under_18_years_old,8/1/2023
Week60,No children,Frequency of not being able to stop or control worrying,More than half the days,12587158,presence_of_children_under_18_years_old,8/1/2023
Week60,No children,Frequency of not being able to stop or control worrying,Nearly every day,14928961,presence_of_children_under_18_years_old,8/1/2023
Week60,No children,Frequency of not being able to stop or control worrying,Did not report,25240760,presence_of_children_under_18_years_old,8/1/2023
Week60,Yes,"Frequency of feeling nervous, anxious, or on edge",Not at all,6521023,respondent_or_household_member_experienced_loss_of_employment_income_in_last_4_weeks,8/1/2023
Week60,Yes,"Frequency of feeling nervous, anxious, or on edge",Several days,7019265,respondent_or_household_member_experienced_loss_of_employment_income_in_last_4_weeks,8/1/2023
Week60,Yes,"Frequency of feeling nervous, anxious, or on edge",More than half the days,3545954,respondent_or_household_member_experienced_loss_of_employment_income_in_last_4_weeks,8/1/2023
Week60,Yes,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,7378911,respondent_or_household_member_experienced_loss_of_employment_income_in_last_4_weeks,8/1/2023
Week60,Yes,"Frequency of feeling nervous, anxious, or on edge",Did not report,4748158,respondent_or_household_member_experienced_loss_of_employment_income_in_last_4_weeks,8/1/2023
Week60,Yes,Frequency of not being able to stop or control worrying,Not at all,7436698,respondent_or_household_member_experienced_loss_of_employment_income_in_last_4_weeks,8/1/2023
Week60,Yes,Frequency of not being able to stop or control worrying,Several days,7307924,respondent_or_household_member_experienced_loss_of_employment_income_in_last_4_weeks,8/1/2023
Week60,Yes,Frequency of not being able to stop or control worrying,More than half the days,3514788,respondent_or_household_member_experienced_loss_of_employment_income_in_last_4_weeks,8/1/2023
Week60,Yes,Frequency of not being able to stop or control worrying,Nearly every day,5978679,respondent_or_household_member_experienced_loss_of_employment_income_in_last_4_weeks,8/1/2023
Week60,Yes,Frequency of not being able to stop or control worrying,Did not report,4975224,respondent_or_household_member_experienced_loss_of_employment_income_in_last_4_weeks,8/1/2023
Week60,No,"Frequency of feeling nervous, anxious, or on edge",Not at all,80582580,respondent_or_household_member_experienced_loss_of_employment_income_in_last_4_weeks,8/1/2023
Week60,No,"Frequency of feeling nervous, anxious, or on edge",Several days,60014493,respondent_or_household_member_experienced_loss_of_employment_income_in_last_4_weeks,8/1/2023
Week60,No,"Frequency of feeling nervous, anxious, or on edge",More than half the days,19819097,respondent_or_household_member_experienced_loss_of_employment_income_in_last_4_weeks,8/1/2023
Week60,No,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,23992115,respondent_or_household_member_experienced_loss_of_employment_income_in_last_4_weeks,8/1/2023
Week60,No,"Frequency of feeling nervous, anxious, or on edge",Did not report,28196249,respondent_or_household_member_experienced_loss_of_employment_income_in_last_4_weeks,8/1/2023
Week60,No,Frequency of not being able to stop or control worrying,Not at all,95008757,respondent_or_household_member_experienced_loss_of_employment_income_in_last_4_weeks,8/1/2023
Week60,No,Frequency of not being able to stop or control worrying,Several days,52845649,respondent_or_household_member_experienced_loss_of_employment_income_in_last_4_weeks,8/1/2023
Week60,No,Frequency of not being able to stop or control worrying,More than half the days,16955077,respondent_or_household_member_experienced_loss_of_employment_income_in_last_4_weeks,8/1/2023
Week60,No,Frequency of not being able to stop or control worrying,Nearly every day,18594558,respondent_or_household_member_experienced_loss_of_employment_income_in_last_4_weeks,8/1/2023
Week60,No,Frequency of not being able to stop or control worrying,Did not report,29200493,respondent_or_household_member_experienced_loss_of_employment_income_in_last_4_weeks,8/1/2023
Week60,Did not report,"Frequency of feeling nervous, anxious, or on edge",Not at all,219975,respondent_or_household_member_experienced_loss_of_employment_income_in_last_4_weeks,8/1/2023
Week60,Did not report,"Frequency of feeling nervous, anxious, or on edge",Several days,91535,respondent_or_household_member_experienced_loss_of_employment_income_in_last_4_weeks,8/1/2023
Week60,Did not report,"Frequency of feeling nervous, anxious, or on edge",More than half the days,45491,respondent_or_household_member_experienced_loss_of_employment_income_in_last_4_weeks,8/1/2023
Week60,Did not report,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,521534,respondent_or_household_member_experienced_loss_of_employment_income_in_last_4_weeks,8/1/2023
Week60,Did not report,"Frequency of feeling nervous, anxious, or on edge",Did not report,12270369,respondent_or_household_member_experienced_loss_of_employment_income_in_last_4_weeks,8/1/2023
Week60,Did not report,Frequency of not being able to stop or control worrying,Not at all,238156,respondent_or_household_member_experienced_loss_of_employment_income_in_last_4_weeks,8/1/2023
Week60,Did not report,Frequency of not being able to stop or control worrying,Several days,96791,respondent_or_household_member_experienced_loss_of_employment_income_in_last_4_weeks,8/1/2023
Week60,Did not report,Frequency of not being able to stop or control worrying,More than half the days,28629,respondent_or_household_member_experienced_loss_of_employment_income_in_last_4_weeks,8/1/2023
Week60,Did not report,Frequency of not being able to stop or control worrying,Nearly every day,493765,respondent_or_household_member_experienced_loss_of_employment_income_in_last_4_weeks,8/1/2023
Week60,Did not report,Frequency of not being able to stop or control worrying,Did not report,12291564,respondent_or_household_member_experienced_loss_of_employment_income_in_last_4_weeks,8/1/2023
Week60,Yes,"Frequency of feeling nervous, anxious, or on edge",Not at all,48592081,respondent_employed_in_the_last_7_days,8/1/2023
Week60,Yes,"Frequency of feeling nervous, anxious, or on edge",Several days,43187530,respondent_employed_in_the_last_7_days,8/1/2023
Week60,Yes,"Frequency of feeling nervous, anxious, or on edge",More than half the days,15319938,respondent_employed_in_the_last_7_days,8/1/2023
Week60,Yes,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,19263750,respondent_employed_in_the_last_7_days,8/1/2023
Week60,Yes,"Frequency of feeling nervous, anxious, or on edge",Did not report,17786998,respondent_employed_in_the_last_7_days,8/1/2023
Week60,Yes,Frequency of not being able to stop or control worrying,Not at all,59996561,respondent_employed_in_the_last_7_days,8/1/2023
Week60,Yes,Frequency of not being able to stop or control worrying,Several days,37946684,respondent_employed_in_the_last_7_days,8/1/2023
Week60,Yes,Frequency of not being able to stop or control worrying,More than half the days,13247468,respondent_employed_in_the_last_7_days,8/1/2023
Week60,Yes,Frequency of not being able to stop or control worrying,Nearly every day,14695581,respondent_employed_in_the_last_7_days,8/1/2023
Week60,Yes,Frequency of not being able to stop or control worrying,Did not report,18264002,respondent_employed_in_the_last_7_days,8/1/2023
Week60,No,"Frequency of feeling nervous, anxious, or on edge",Not at all,37862607,respondent_employed_in_the_last_7_days,8/1/2023
Week60,No,"Frequency of feeling nervous, anxious, or on edge",Several days,23648850,respondent_employed_in_the_last_7_days,8/1/2023
Week60,No,"Frequency of feeling nervous, anxious, or on edge",More than half the days,7983185,respondent_employed_in_the_last_7_days,8/1/2023
Week60,No,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,12439027,respondent_employed_in_the_last_7_days,8/1/2023
Week60,No,"Frequency of feeling nervous, anxious, or on edge",Did not report,14777411,respondent_employed_in_the_last_7_days,8/1/2023
Week60,No,Frequency of not being able to stop or control worrying,Not at all,41928383,respondent_employed_in_the_last_7_days,8/1/2023
Week60,No,Frequency of not being able to stop or control worrying,Several days,22056959,respondent_employed_in_the_last_7_days,8/1/2023
Week60,No,Frequency of not being able to stop or control worrying,More than half the days,7168940,respondent_employed_in_the_last_7_days,8/1/2023
Week60,No,Frequency of not being able to stop or control worrying,Nearly every day,10197457,respondent_employed_in_the_last_7_days,8/1/2023
Week60,No,Frequency of not being able to stop or control worrying,Did not report,15359341,respondent_employed_in_the_last_7_days,8/1/2023
Week60,Did not report,"Frequency of feeling nervous, anxious, or on edge",Not at all,868892,respondent_employed_in_the_last_7_days,8/1/2023
Week60,Did not report,"Frequency of feeling nervous, anxious, or on edge",Several days,288914,respondent_employed_in_the_last_7_days,8/1/2023
Week60,Did not report,"Frequency of feeling nervous, anxious, or on edge",More than half the days,107419,respondent_employed_in_the_last_7_days,8/1/2023
Week60,Did not report,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,189784,respondent_employed_in_the_last_7_days,8/1/2023
Week60,Did not report,"Frequency of feeling nervous, anxious, or on edge",Did not report,12650368,respondent_employed_in_the_last_7_days,8/1/2023
Week60,Did not report,Frequency of not being able to stop or control worrying,Not at all,758666,respondent_employed_in_the_last_7_days,8/1/2023
Week60,Did not report,Frequency of not being able to stop or control worrying,Several days,246721,respondent_employed_in_the_last_7_days,8/1/2023
Week60,Did not report,Frequency of not being able to stop or control worrying,More than half the days,82086,respondent_employed_in_the_last_7_days,8/1/2023
Week60,Did not report,Frequency of not being able to stop or control worrying,Nearly every day,173965,respondent_employed_in_the_last_7_days,8/1/2023
Week60,Did not report,Frequency of not being able to stop or control worrying,Did not report,12843938,respondent_employed_in_the_last_7_days,8/1/2023
Week60,"Less than $25,000","Frequency of feeling nervous, anxious, or on edge",Not at all,7700318,household_income,8/1/2023
Week60,"Less than $25,000","Frequency of feeling nervous, anxious, or on edge",Several days,7364262,household_income,8/1/2023
Week60,"Less than $25,000","Frequency of feeling nervous, anxious, or on edge",More than half the days,2804974,household_income,8/1/2023
Week60,"Less than $25,000","Frequency of feeling nervous, anxious, or on edge",Nearly every day,6314818,household_income,8/1/2023
Week60,"Less than $25,000","Frequency of feeling nervous, anxious, or on edge",Did not report,82820,household_income,8/1/2023
Week60,"Less than $25,000",Frequency of not being able to stop or control worrying,Not at all,8246725,household_income,8/1/2023
Week60,"Less than $25,000",Frequency of not being able to stop or control worrying,Several days,7330071,household_income,8/1/2023
Week60,"Less than $25,000",Frequency of not being able to stop or control worrying,More than half the days,3210642,household_income,8/1/2023
Week60,"Less than $25,000",Frequency of not being able to stop or control worrying,Nearly every day,5241351,household_income,8/1/2023
Week60,"Less than $25,000",Frequency of not being able to stop or control worrying,Did not report,238402,household_income,8/1/2023
Week60,"$25,000 - $34,999","Frequency of feeling nervous, anxious, or on edge",Not at all,6880049,household_income,8/1/2023
Week60,"$25,000 - $34,999","Frequency of feeling nervous, anxious, or on edge",Several days,6348966,household_income,8/1/2023
Week60,"$25,000 - $34,999","Frequency of feeling nervous, anxious, or on edge",More than half the days,2665073,household_income,8/1/2023
Week60,"$25,000 - $34,999","Frequency of feeling nervous, anxious, or on edge",Nearly every day,3296393,household_income,8/1/2023
Week60,"$25,000 - $34,999","Frequency of feeling nervous, anxious, or on edge",Did not report,42257,household_income,8/1/2023
Week60,"$25,000 - $34,999",Frequency of not being able to stop or control worrying,Not at all,7437223,household_income,8/1/2023
Week60,"$25,000 - $34,999",Frequency of not being able to stop or control worrying,Several days,6276700,household_income,8/1/2023
Week60,"$25,000 - $34,999",Frequency of not being able to stop or control worrying,More than half the days,2365287,household_income,8/1/2023
Week60,"$25,000 - $34,999",Frequency of not being able to stop or control worrying,Nearly every day,2970934,household_income,8/1/2023
Week60,"$25,000 - $34,999",Frequency of not being able to stop or control worrying,Did not report,182594,household_income,8/1/2023
Week60,"$35,000 - $49,999","Frequency of feeling nervous, anxious, or on edge",Not at all,8739515,household_income,8/1/2023
Week60,"$35,000 - $49,999","Frequency of feeling nervous, anxious, or on edge",Several days,6919854,household_income,8/1/2023
Week60,"$35,000 - $49,999","Frequency of feeling nervous, anxious, or on edge",More than half the days,2955615,household_income,8/1/2023
